id,nume,prenume,date_nast,email,numar
44,Serban,Gabriela,1980-03-30,gabriela.serban60@hotmail.com,0722313702
45,Serban,Gabriel,1979-06-22,gabriel.serban90@gmail.com,0721312913
46,Dobre,Monica,1987-07-01,monica.dobre95@gmail.com,0723989631
47,Constantin,Florina,1977-05-08,florina.constantin94@yahoo.com,0742763834
48,Manea,Valentina,1976-06-11,valentina.manea55@gmail.com,0723866861
49,Matei,Razvan,1979-07-07,razvan.matei92@hotmail.com,0722801677
50,Marin,Georgiana,1970-10-04,georgiana.marin78@gmail.com,0741453290
51,Popescu,Roxana,1973-04-25,roxana.popescu11@gmail.com,0751756813
52,Tudor,Roxana,2002-07-25,roxana.tudor5@gmail.com,0732715367
53,Manea,Lavinia,1979-04-01,lavinia.manea32@hotmail.com,0741186692
54,Preda,Tudor,1990-02-25,tudor.preda63@yahoo.com,0732682352
55,Dobre,Mihaela,1997-01-09,mihaela.dobre55@outlook.com,0771348582
56,Mocanu,Felix,1979-11-28,felix.mocanu16@gmail.com,0732896513
57,Stoica,Octavian,1980-06-05,octavian.stoica10@gmail.com,0721612208
58,Andrei,Lavinia,1977-03-14,lavinia.andrei59@gmail.com,0751744271
59,Tanase,Georgiana,1986-04-24,georgiana.tanase22@yahoo.com,0723323765
60,Mocanu,Dorian,1991-01-30,dorian.mocanu62@yahoo.com,0741305273
61,Gheorghe,Ana,1982-10-19,ana.gheorghe78@outlook.com,0721838491
62,Matei,Bianca,1985-09-11,bianca.matei81@outlook.com,0761582449
63,Badea,Emil,1997-12-26,emil.badea76@hotmail.com,0721793845
64,Popa,Andreea,1978-06-16,andreea.popa58@yahoo.com,0723364075
65,Florea,Mihaela,1976-09-23,mihaela.florea1@yahoo.com,0742896602
66,Gheorghe,Alexandru,1984-09-06,alexandru.gheorghe61@hotmail.com,0771609903
67,Stan,Patricia,1984-06-06,patricia.stan96@gmail.com,0771301122
68,Tudor,Nicoleta,1999-05-15,nicoleta.tudor45@hotmail.com,0761349537
69,Matei,Ion,2002-07-09,ion.matei10@outlook.com,0751610144
70,Preda,Nicoleta,1980-05-30,nicoleta.preda29@gmail.com,0722552260
71,Dinu,Oana,1991-05-17,oana.dinu15@gmail.com,0742127633
72,Gheorghe,Diana,1991-09-23,diana.gheorghe72@hotmail.com,0722917263
73,Vlad,Teresa,1970-10-07,teresa.vlad69@yahoo.com,0742948548
74,Popescu,Irina,1997-04-22,irina.popescu31@hotmail.com,0721629045
75,Ilie,Gabriela,1982-12-08,gabriela.ilie27@gmail.com,0722715711
76,Mihai,Ion,1994-12-17,ion.mihai25@hotmail.com,0771667599
77,Popescu,Nicoleta,1990-05-25,nicoleta.popescu96@outlook.com,0742874119
78,Manea,Lavinia,1998-03-23,lavinia.manea43@gmail.com,0731264872
79,Dumitru,Catalin,1974-06-04,catalin.dumitru98@gmail.com,0731665875
80,Negru,Tudor,1984-07-25,tudor.negru52@outlook.com,0771607731
81,Matei,Raluca,1981-07-29,raluca.matei39@outlook.com,0723780179
82,Lazar,Laura,2001-04-06,laura.lazar96@outlook.com,0761482291
83,Barbu,Claudiu,1972-10-13,claudiu.barbu42@yahoo.com,0742923964
84,Radu,Claudiu,1979-05-12,claudiu.radu44@yahoo.com,0741327815
85,Lazar,Gabriela,1998-04-23,gabriela.lazar75@hotmail.com,0732181278
86,Stan,Adrian,1995-01-20,adrian.stan35@outlook.com,0751465754
87,Olteanu,Vlad,1972-02-10,vlad.olteanu79@outlook.com,0742549246
88,Ionescu,Razvan,1977-06-07,razvan.ionescu50@outlook.com,0771533106
89,Niculescu,Mihaela,1973-07-09,mihaela.niculescu25@yahoo.com,0731342939
90,Grigore,Paula,1975-02-01,paula.grigore1@gmail.com,0751424077
91,Tudor,Catalin,1991-08-28,catalin.tudor34@outlook.com,0741827519
92,Ciobanu,Marius,1993-12-28,marius.ciobanu10@yahoo.com,0731751605
93,Tanase,Diana,1994-12-25,diana.tanase97@gmail.com,0722593446
94,Olteanu,Mihaela,2000-09-06,mihaela.olteanu44@yahoo.com,0722331423
95,Serban,Oana,1994-07-22,oana.serban85@gmail.com,0741283412
96,Dinu,Valentina,1986-01-03,valentina.dinu30@yahoo.com,0751909917
97,Ciobanu,Felix,1985-11-22,felix.ciobanu69@gmail.com,0722944653
98,Tanase,Alina,2002-11-10,alina.tanase6@gmail.com,0722163354
99,Andrei,Ionut,1984-08-02,ionut.andrei65@hotmail.com,0721718674
100,Nistor,Simona,1988-02-07,simona.nistor68@hotmail.com,0732618524
